,i,j,Z,match,gamma
0,0,0,2,False,[1 0 0 0 0]
1,0,1,2,False,[0 0 0 0 0]
2,0,2,2,True,[1 1 0 1 1]
3,0,3,2,False,[0 1 0 0 0]
4,0,4,2,False,[0 1 0 0 0]
5,0,5,2,False,[1 0 0 0 0]
6,0,6,2,False,[0 0 0 1 0]
7,0,7,2,False,[0 1 0 0 0]
8,0,8,2,False,[0 0 0 0 0]
9,0,9,2,False,[0 0 0 0 0]
10,1,0,5,False,[0 0 1 0 0]
11,1,1,5,False,[0 0 0 1 0]
12,1,2,5,False,[0 0 0 0 1]
13,1,3,5,False,[0 0 0 1 1]
14,1,4,5,False,[0 0 0 0 0]
15,1,5,5,True,[1 1 1 0 1]
16,1,6,5,False,[0 0 0 1 0]
17,1,7,5,False,[0 0 1 0 1]
18,1,8,5,False,[1 1 0 0 0]
19,1,9,5,False,[0 0 1 0 0]
20,2,0,7,False,[0 0 1 1 0]
21,2,1,7,False,[0 0 0 0 0]
22,2,2,7,False,[1 0 1 0 0]
23,2,3,7,False,[0 0 0 0 0]
24,2,4,7,False,[1 0 1 0 0]
25,2,5,7,False,[0 1 1 1 0]
26,2,6,7,False,[0 0 0 1 0]
27,2,7,7,True,[1 1 1 1 1]
28,2,8,7,False,[1 1 0 0 0]
29,2,9,7,False,[0 0 0 0 0]
30,3,0,3,False,[0 0 0 0 0]
31,3,1,3,False,[0 0 0 0 0]
32,3,2,3,False,[0 0 0 0 0]
33,3,3,3,True,[1 1 1 1 1]
34,3,4,3,False,[0 0 0 1 0]
35,3,5,3,False,[0 0 1 0 1]
36,3,6,3,False,[0 1 0 0 0]
37,3,7,3,False,[0 0 0 0 0]
38,3,8,3,False,[0 1 0 1 0]
39,3,9,3,False,[0 0 1 0 0]
40,4,0,14,False,[0 0 0 0 0]
41,4,1,14,False,[0 0 0 0 1]
42,4,2,14,False,[0 0 1 0 0]
43,4,3,14,False,[0 0 0 0 0]
44,4,4,14,False,[0 0 0 0 0]
45,4,5,14,False,[1 1 0 0 1]
46,4,6,14,False,[0 0 0 0 0]
47,4,7,14,False,[0 0 1 0 0]
48,4,8,14,False,[0 1 0 0 0]
49,4,9,14,False,[0 1 1 1 1]
50,5,0,1,False,[0 1 0 1 1]
51,5,1,1,True,[1 1 1 1 1]
52,5,2,1,False,[0 0 0 0 0]
53,5,3,1,False,[0 0 0 0 1]
54,5,4,1,False,[0 1 0 0 0]
55,5,5,1,False,[0 1 0 0 0]
56,5,6,1,False,[0 0 0 0 0]
57,5,7,1,False,[0 1 0 0 0]
58,5,8,1,False,[0 0 0 0 1]
59,5,9,1,False,[0 0 0 0 0]
60,6,0,9,False,[0 0 1 0 0]
61,6,1,9,False,[1 1 0 0 0]
62,6,2,9,False,[1 0 1 0 0]
63,6,3,9,False,[0 0 0 0 0]
64,6,4,9,False,[1 0 0 0 0]
65,6,5,9,False,[0 0 0 0 0]
66,6,6,9,False,[0 0 0 1 0]
67,6,7,9,False,[1 0 0 0 0]
68,6,8,9,False,[0 0 1 0 1]
69,6,9,9,True,[1 1 1 1 1]
70,7,0,8,False,[0 0 0 0 0]
71,7,1,8,False,[0 0 0 0 0]
72,7,2,8,False,[0 0 1 1 0]
73,7,3,8,False,[1 1 1 0 0]
74,7,4,8,False,[0 0 0 0 0]
75,7,5,8,False,[1 0 0 0 0]
76,7,6,8,False,[1 1 0 0 0]
77,7,7,8,False,[1 1 0 0 0]
78,7,8,8,True,[1 1 1 1 1]
79,7,9,8,False,[0 0 1 0 0]
80,8,0,4,False,[0 0 0 0 0]
81,8,1,4,False,[0 0 0 0 1]
82,8,2,4,False,[0 0 0 1 0]
83,8,3,4,False,[0 0 0 1 0]
84,8,4,4,True,[1 1 1 1 1]
85,8,5,4,False,[0 0 0 1 0]
86,8,6,4,False,[0 0 0 0 0]
87,8,7,4,False,[1 0 1 0 0]
88,8,8,4,False,[0 0 1 0 1]
89,8,9,4,False,[0 0 0 1 1]
90,9,0,0,True,[1 1 1 1 1]
91,9,1,0,False,[0 0 0 1 0]
92,9,2,0,False,[0 0 0 1 0]
93,9,3,0,False,[0 1 0 0 0]
94,9,4,0,False,[0 1 0 0 0]
95,9,5,0,False,[0 0 0 0 0]
96,9,6,0,False,[0 0 1 0 0]
97,9,7,0,False,[1 0 0 0 0]
98,9,8,0,False,[1 0 0 0 1]
99,9,9,0,False,[0 0 0 1 1]
