,i,j,Z,match,gamma
0,0,0,20,False,[0 1 0 0 1]
1,0,1,20,False,[0 0 0 0 1]
2,0,2,20,False,[0 1 0 0 1]
3,0,3,20,False,[0 0 0 0 0]
4,0,4,20,False,[0 0 1 0 0]
5,0,5,20,False,[0 0 0 0 0]
6,0,6,20,False,[0 0 0 1 0]
7,0,7,20,False,[0 0 0 0 0]
8,0,8,20,False,[0 0 0 0 0]
9,0,9,20,False,[0 1 0 1 0]
10,0,10,20,False,[0 0 0 0 0]
11,0,11,20,False,[0 0 0 0 0]
12,0,12,20,False,[0 1 0 1 1]
13,0,13,20,False,[0 0 0 0 0]
14,0,14,20,False,[0 1 0 0 1]
15,0,15,20,False,[0 0 1 1 0]
16,0,16,20,False,[0 0 0 0 0]
17,0,17,20,False,[0 0 0 0 0]
18,0,18,20,False,[0 1 0 0 0]
19,0,19,20,False,[0 0 0 1 0]
20,1,0,5,False,[0 0 0 0 1]
21,1,1,5,False,[0 1 0 0 0]
22,1,2,5,False,[0 0 0 0 0]
23,1,3,5,False,[0 0 0 0 0]
24,1,4,5,False,[0 0 0 0 0]
25,1,5,5,True,[1 1 1 0 1]
26,1,6,5,False,[1 0 0 0 0]
27,1,7,5,False,[1 0 0 1 0]
28,1,8,5,False,[1 0 0 0 0]
29,1,9,5,False,[0 0 0 0 1]
30,1,10,5,False,[1 0 0 0 0]
31,1,11,5,False,[0 1 0 0 0]
32,1,12,5,False,[1 0 1 0 0]
33,1,13,5,False,[0 1 1 0 1]
34,1,14,5,False,[0 0 0 0 1]
35,1,15,5,False,[0 0 1 0 0]
36,1,16,5,False,[1 0 0 0 0]
37,1,17,5,False,[0 0 0 0 0]
38,1,18,5,False,[0 0 1 0 0]
39,1,19,5,False,[0 0 0 0 1]
40,2,0,22,False,[1 0 0 0 0]
41,2,1,22,False,[0 0 1 0 0]
42,2,2,22,False,[0 1 0 0 0]
43,2,3,22,False,[0 0 0 0 0]
44,2,4,22,False,[0 0 0 0 1]
45,2,5,22,False,[1 0 0 0 0]
46,2,6,22,False,[0 0 0 1 0]
47,2,7,22,False,[0 0 0 1 0]
48,2,8,22,False,[0 0 0 1 0]
49,2,9,22,False,[0 0 0 0 0]
50,2,10,22,False,[0 0 0 0 0]
51,2,11,22,False,[0 1 0 0 0]
52,2,12,22,False,[1 0 0 0 0]
53,2,13,22,False,[0 0 0 0 1]
54,2,14,22,False,[0 0 0 0 0]
55,2,15,22,False,[0 1 0 0 0]
56,2,16,22,False,[0 0 0 0 0]
57,2,17,22,False,[0 1 0 0 0]
58,2,18,22,False,[0 0 0 0 0]
59,2,19,22,False,[0 0 1 1 0]
60,3,0,23,False,[0 0 1 1 0]
61,3,1,23,False,[0 0 0 0 0]
62,3,2,23,False,[0 0 0 0 0]
63,3,3,23,False,[0 0 0 0 1]
64,3,4,23,False,[0 0 0 0 0]
65,3,5,23,False,[1 0 0 1 0]
66,3,6,23,False,[0 0 1 0 0]
67,3,7,23,False,[1 0 0 0 0]
68,3,8,23,False,[0 0 0 0 0]
69,3,9,23,False,[0 1 1 1 0]
70,3,10,23,False,[0 0 1 0 0]
71,3,11,23,False,[0 0 1 1 0]
72,3,12,23,False,[0 1 0 0 0]
73,3,13,23,False,[0 0 1 0 1]
74,3,14,23,False,[0 1 0 0 1]
75,3,15,23,False,[0 0 0 0 0]
76,3,16,23,False,[1 0 0 0 0]
77,3,17,23,False,[0 0 1 0 1]
78,3,18,23,False,[0 0 0 1 0]
79,3,19,23,False,[1 0 0 0 1]
80,4,0,24,False,[1 0 1 0 0]
81,4,1,24,False,[1 0 0 0 1]
82,4,2,24,False,[0 0 0 0 0]
83,4,3,24,False,[0 0 0 0 0]
84,4,4,24,False,[1 1 0 1 0]
85,4,5,24,False,[0 1 1 0 0]
86,4,6,24,False,[1 0 0 0 0]
87,4,7,24,False,[0 0 0 0 0]
88,4,8,24,False,[1 1 1 0 0]
89,4,9,24,False,[0 0 0 0 0]
90,4,10,24,False,[0 1 0 0 0]
91,4,11,24,False,[0 0 0 1 0]
92,4,12,24,False,[0 0 0 0 0]
93,4,13,24,False,[0 1 0 1 0]
94,4,14,24,False,[1 0 0 1 1]
95,4,15,24,False,[0 0 0 0 0]
96,4,16,24,False,[0 1 0 0 0]
97,4,17,24,False,[0 0 0 0 0]
98,4,18,24,False,[0 0 1 0 1]
