,i,j,Z,match,gamma
0,0,0,4,False,[0 0 0]
1,0,1,4,False,[0 1 0]
2,0,2,4,False,[0 1 0]
3,0,3,4,False,[0 0 0]
4,0,4,4,True,[1 1 0]
5,0,5,4,False,[0 1 1]
6,0,6,4,False,[0 0 0]
7,0,7,4,False,[0 0 0]
8,0,8,4,False,[0 1 0]
9,0,9,4,False,[1 0 1]
10,1,0,11,False,[0 0 1]
11,1,1,11,False,[0 0 0]
12,1,2,11,False,[1 0 0]
13,1,3,11,False,[0 0 0]
14,1,4,11,False,[0 0 0]
15,1,5,11,False,[0 0 0]
16,1,6,11,False,[0 0 1]
17,1,7,11,False,[0 1 0]
18,1,8,11,False,[0 0 0]
19,1,9,11,False,[0 0 0]
20,2,0,7,False,[0 0 1]
21,2,1,7,False,[1 0 0]
22,2,2,7,False,[1 0 1]
23,2,3,7,False,[0 0 0]
24,2,4,7,False,[0 0 1]
25,2,5,7,False,[0 1 0]
26,2,6,7,False,[1 0 0]
27,2,7,7,True,[1 1 1]
28,2,8,7,False,[0 0 0]
29,2,9,7,False,[0 0 0]
30,3,0,3,False,[0 0 0]
31,3,1,3,False,[1 0 0]
32,3,2,3,False,[0 1 0]
33,3,3,3,True,[1 1 1]
34,3,4,3,False,[0 0 0]
35,3,5,3,False,[1 0 0]
36,3,6,3,False,[0 1 1]
37,3,7,3,False,[0 0 0]
38,3,8,3,False,[1 0 0]
39,3,9,3,False,[0 0 0]
40,4,0,0,True,[1 1 1]
41,4,1,0,False,[0 0 0]
42,4,2,0,False,[0 0 0]
43,4,3,0,False,[0 0 0]
44,4,4,0,False,[0 1 0]
45,4,5,0,False,[1 0 0]
46,4,6,0,False,[0 0 0]
47,4,7,0,False,[0 0 0]
48,4,8,0,False,[1 1 0]
49,4,9,0,False,[0 1 1]
50,5,0,9,False,[1 0 0]
51,5,1,9,False,[0 0 0]
52,5,2,9,False,[0 0 0]
53,5,3,9,False,[0 0 0]
54,5,4,9,False,[0 0 0]
55,5,5,9,False,[0 1 1]
56,5,6,9,False,[0 0 0]
57,5,7,9,False,[0 0 0]
58,5,8,9,False,[0 0 0]
59,5,9,9,True,[1 1 1]
60,6,0,5,False,[1 1 1]
61,6,1,5,False,[1 0 0]
62,6,2,5,False,[0 0 0]
63,6,3,5,False,[0 0 0]
64,6,4,5,False,[0 0 0]
65,6,5,5,True,[1 0 1]
66,6,6,5,False,[0 0 1]
67,6,7,5,False,[0 0 0]
68,6,8,5,False,[0 0 0]
69,6,9,5,False,[0 0 0]
70,7,0,2,False,[0 1 0]
71,7,1,2,False,[0 0 0]
72,7,2,2,True,[1 1 1]
73,7,3,2,False,[1 0 0]
74,7,4,2,False,[0 0 0]
75,7,5,2,False,[0 0 1]
76,7,6,2,False,[0 0 1]
77,7,7,2,False,[0 0 0]
78,7,8,2,False,[0 0 0]
79,7,9,2,False,[1 0 0]
80,8,0,1,False,[0 1 0]
81,8,1,1,True,[1 1 1]
82,8,2,1,False,[0 0 0]
83,8,3,1,False,[0 0 0]
84,8,4,1,False,[0 0 0]
85,8,5,1,False,[0 0 0]
86,8,6,1,False,[0 0 0]
87,8,7,1,False,[0 0 0]
88,8,8,1,False,[0 1 0]
89,8,9,1,False,[0 0 0]
90,9,0,8,False,[0 0 0]
91,9,1,8,False,[0 0 0]
92,9,2,8,False,[0 0 0]
93,9,3,8,False,[0 0 0]
94,9,4,8,False,[0 0 0]
95,9,5,8,False,[0 0 0]
96,9,6,8,False,[0 0 0]
97,9,7,8,False,[0 0 0]
98,9,8,8,True,[1 1 1]
99,9,9,8,False,[0 1 0]
