,i,j,Z,match,gamma
0,0,0,20,False,[0 0 0]
1,0,1,20,False,[0 1 0]
2,0,2,20,False,[0 1 1]
3,0,3,20,False,[1 0 1]
4,0,4,20,False,[0 0 0]
5,0,5,20,False,[1 0 1]
6,0,6,20,False,[0 0 1]
7,0,7,20,False,[0 0 0]
8,0,8,20,False,[0 0 0]
9,0,9,20,False,[1 1 0]
10,0,10,20,False,[0 0 1]
11,0,11,20,False,[1 0 1]
12,0,12,20,False,[0 0 0]
13,0,13,20,False,[1 0 0]
14,0,14,20,False,[0 0 1]
15,0,15,20,False,[0 0 1]
16,0,16,20,False,[0 1 0]
17,0,17,20,False,[1 0 0]
18,0,18,20,False,[0 0 0]
19,0,19,20,False,[0 0 0]
20,1,0,7,False,[1 1 0]
21,1,1,7,False,[0 0 1]
22,1,2,7,False,[0 1 0]
23,1,3,7,False,[0 1 0]
24,1,4,7,False,[0 1 0]
25,1,5,7,False,[0 0 0]
26,1,6,7,False,[0 0 0]
27,1,7,7,True,[1 1 1]
28,1,8,7,False,[0 1 0]
29,1,9,7,False,[1 0 0]
30,1,10,7,False,[1 1 0]
31,1,11,7,False,[0 0 0]
32,1,12,7,False,[0 0 1]
33,1,13,7,False,[0 0 0]
34,1,14,7,False,[0 0 1]
35,1,15,7,False,[0 0 0]
36,1,16,7,False,[0 0 0]
37,1,17,7,False,[0 0 0]
38,1,18,7,False,[0 0 1]
39,1,19,7,False,[0 0 0]
40,2,0,0,True,[1 1 1]
41,2,1,0,False,[0 0 0]
42,2,2,0,False,[1 0 0]
43,2,3,0,False,[0 0 1]
44,2,4,0,False,[0 0 0]
45,2,5,0,False,[0 0 0]
46,2,6,0,False,[0 0 0]
47,2,7,0,False,[0 0 1]
48,2,8,0,False,[0 0 0]
49,2,9,0,False,[0 1 0]
50,2,10,0,False,[0 0 0]
51,2,11,0,False,[0 0 0]
52,2,12,0,False,[0 0 0]
53,2,13,0,False,[0 0 0]
54,2,14,0,False,[0 0 0]
55,2,15,0,False,[0 0 0]
56,2,16,0,False,[0 1 0]
57,2,17,0,False,[1 0 0]
58,2,18,0,False,[0 1 0]
59,2,19,0,False,[1 0 0]
