,Z,i,j,match,gamma
0,2,0,0,False,[0 0 1 0]
1,2,0,1,False,[0 0 0 0]
2,2,0,2,True,[1 0 1 1]
3,2,0,3,False,[0 0 0 0]
4,2,0,4,False,[0 0 0 0]
5,2,0,5,False,[0 0 1 0]
6,2,0,6,False,[0 0 1 0]
7,2,0,7,False,[0 0 0 0]
8,2,0,8,False,[0 0 0 0]
9,2,0,9,False,[0 0 1 0]
10,11,1,0,False,[0 0 0 0]
11,11,1,1,False,[0 0 1 0]
12,11,1,2,False,[0 0 0 0]
13,11,1,3,False,[0 1 0 0]
14,11,1,4,False,[0 0 0 0]
15,11,1,5,False,[0 0 0 0]
16,11,1,6,False,[0 0 1 0]
17,11,1,7,False,[0 0 1 0]
18,11,1,8,False,[1 0 0 0]
19,11,1,9,False,[0 0 0 0]
20,0,2,0,True,[1 0 0 1]
21,0,2,1,False,[0 0 1 0]
22,0,2,2,False,[0 0 0 0]
23,0,2,3,False,[0 0 0 0]
24,0,2,4,False,[0 0 0 0]
25,0,2,5,False,[0 0 0 0]
26,0,2,6,False,[0 0 0 0]
27,0,2,7,False,[0 0 0 1]
28,0,2,8,False,[0 0 0 0]
29,0,2,9,False,[0 0 0 0]
30,5,3,0,False,[0 0 0 0]
31,5,3,1,False,[0 0 0 0]
32,5,3,2,False,[0 0 0 0]
33,5,3,3,False,[0 0 0 1]
34,5,3,4,False,[0 0 0 0]
35,5,3,5,True,[1 0 1 1]
36,5,3,6,False,[0 0 0 0]
37,5,3,7,False,[0 0 1 0]
38,5,3,8,False,[1 0 0 0]
39,5,3,9,False,[0 0 0 0]
40,14,4,0,False,[0 0 1 1]
41,14,4,1,False,[0 0 0 0]
42,14,4,2,False,[1 0 0 0]
43,14,4,3,False,[0 1 0 0]
44,14,4,4,False,[1 0 0 0]
45,14,4,5,False,[0 0 1 0]
46,14,4,6,False,[0 0 0 0]
47,14,4,7,False,[0 0 0 0]
48,14,4,8,False,[0 0 0 0]
49,14,4,9,False,[0 0 0 1]
50,15,5,0,False,[0 1 0 0]
51,15,5,1,False,[0 0 0 1]
52,15,5,2,False,[0 0 0 0]
53,15,5,3,False,[0 0 0 0]
54,15,5,4,False,[0 0 0 0]
55,15,5,5,False,[0 0 0 0]
56,15,5,6,False,[0 0 0 0]
57,15,5,7,False,[0 0 0 0]
58,15,5,8,False,[0 0 0 0]
59,15,5,9,False,[0 0 0 0]
60,16,6,0,False,[0 0 0 0]
61,16,6,1,False,[0 0 0 1]
62,16,6,2,False,[0 1 0 0]
63,16,6,3,False,[0 1 0 0]
64,16,6,4,False,[0 0 0 0]
65,16,6,5,False,[1 0 0 0]
66,16,6,6,False,[0 0 0 0]
67,16,6,7,False,[0 0 1 0]
68,16,6,8,False,[0 0 0 0]
69,16,6,9,False,[0 0 0 0]
70,17,7,0,False,[0 0 0 0]
71,17,7,1,False,[0 0 0 0]
72,17,7,2,False,[0 0 0 0]
73,17,7,3,False,[0 0 0 0]
74,17,7,4,False,[0 0 0 0]
75,17,7,5,False,[0 0 0 0]
76,17,7,6,False,[0 0 0 0]
77,17,7,7,False,[0 0 1 1]
78,17,7,8,False,[0 0 0 0]
79,17,7,9,False,[0 0 0 0]
80,7,8,0,False,[0 1 0 0]
81,7,8,1,False,[0 0 0 0]
82,7,8,2,False,[0 0 0 0]
83,7,8,3,False,[0 0 0 0]
84,7,8,4,False,[0 0 0 1]
85,7,8,5,False,[0 0 0 0]
86,7,8,6,False,[0 0 0 0]
87,7,8,7,True,[0 1 1 0]
88,7,8,8,False,[0 0 0 0]
89,7,8,9,False,[0 0 0 0]
90,3,9,0,False,[0 1 0 1]
91,3,9,1,False,[0 0 0 0]
92,3,9,2,False,[0 0 0 0]
93,3,9,3,True,[1 1 1 1]
94,3,9,4,False,[0 1 0 0]
95,3,9,5,False,[0 0 0 0]
96,3,9,6,False,[0 0 0 0]
97,3,9,7,False,[1 0 0 0]
98,3,9,8,False,[0 0 0 0]
99,3,9,9,False,[0 0 0 0]
