,Z,i,j,match,gamma
0,10,0,0,False,[0 0]
1,10,0,1,False,[0 0]
2,10,0,2,False,[0 1]
3,10,0,3,False,[0 0]
4,10,0,4,False,[0 1]
5,10,0,5,False,[1 0]
6,10,0,6,False,[0 1]
7,10,0,7,False,[1 0]
8,10,0,8,False,[0 0]
9,10,0,9,False,[0 1]
10,11,1,0,False,[1 0]
11,11,1,1,False,[0 0]
12,11,1,2,False,[0 0]
13,11,1,3,False,[0 0]
14,11,1,4,False,[1 1]
15,11,1,5,False,[0 1]
16,11,1,6,False,[1 1]
17,11,1,7,False,[0 1]
18,11,1,8,False,[1 0]
19,11,1,9,False,[0 1]
20,2,2,0,False,[1 0]
21,2,2,1,False,[1 1]
22,2,2,2,True,[0 0]
23,2,2,3,False,[0 0]
24,2,2,4,False,[1 0]
25,2,2,5,False,[0 1]
26,2,2,6,False,[1 1]
27,2,2,7,False,[1 1]
28,2,2,8,False,[1 0]
29,2,2,9,False,[0 1]
30,13,3,0,False,[1 0]
31,13,3,1,False,[1 0]
32,13,3,2,False,[1 1]
33,13,3,3,False,[1 1]
34,13,3,4,False,[1 0]
35,13,3,5,False,[0 1]
36,13,3,6,False,[0 1]
37,13,3,7,False,[1 1]
38,13,3,8,False,[1 0]
39,13,3,9,False,[0 1]
40,5,4,0,False,[1 0]
41,5,4,1,False,[1 0]
42,5,4,2,False,[0 0]
43,5,4,3,False,[1 1]
44,5,4,4,False,[1 0]
45,5,4,5,True,[1 1]
46,5,4,6,False,[0 0]
47,5,4,7,False,[1 1]
48,5,4,8,False,[0 1]
49,5,4,9,False,[0 0]
50,7,5,0,False,[0 0]
51,7,5,1,False,[0 1]
52,7,5,2,False,[0 0]
53,7,5,3,False,[1 1]
54,7,5,4,False,[1 0]
55,7,5,5,False,[1 1]
56,7,5,6,False,[1 0]
57,7,5,7,True,[0 0]
58,7,5,8,False,[1 0]
59,7,5,9,False,[0 0]
60,8,6,0,False,[0 0]
61,8,6,1,False,[0 0]
62,8,6,2,False,[1 0]
63,8,6,3,False,[1 1]
64,8,6,4,False,[1 1]
65,8,6,5,False,[1 1]
66,8,6,6,False,[0 0]
67,8,6,7,False,[0 1]
68,8,6,8,True,[1 1]
69,8,6,9,False,[1 1]
70,3,7,0,False,[1 0]
71,3,7,1,False,[0 1]
72,3,7,2,False,[1 1]
73,3,7,3,True,[1 0]
74,3,7,4,False,[0 0]
75,3,7,5,False,[0 0]
76,3,7,6,False,[1 1]
77,3,7,7,False,[1 0]
78,3,7,8,False,[0 1]
79,3,7,9,False,[0 0]
80,18,8,0,False,[0 1]
81,18,8,1,False,[0 1]
82,18,8,2,False,[1 1]
83,18,8,3,False,[1 1]
84,18,8,4,False,[1 0]
85,18,8,5,False,[1 0]
86,18,8,6,False,[1 0]
87,18,8,7,False,[1 1]
88,18,8,8,False,[1 0]
89,18,8,9,False,[1 0]
90,19,9,0,False,[0 1]
91,19,9,1,False,[1 0]
92,19,9,2,False,[1 1]
93,19,9,3,False,[1 1]
94,19,9,4,False,[1 1]
95,19,9,5,False,[0 1]
96,19,9,6,False,[0 1]
97,19,9,7,False,[0 1]
98,19,9,8,False,[1 0]
99,19,9,9,False,[1 0]
